year,date,month,weekday,member_casual,rideable_type,ride_count,mean_duration_min,median_duration_min
2024,2024-03-15,3,5,member,classic_bike,4714,12.445622967048509,8.616666666666667
2024,2024-03-15,3,5,member,electric_bike,5244,11.49773073989321,8.733333333333333
2024,2024-03-16,3,6,casual,classic_bike,6542,36.90169927646999,22.108333333333334
2024,2024-03-16,3,6,casual,electric_bike,4582,21.73599592608759,13.3
2024,2024-03-16,3,6,member,classic_bike,5501,16.197124765194207,10.55
2024,2024-03-16,3,6,member,electric_bike,5403,13.2148991301129,9.766666666666667
2024,2024-03-17,3,7,casual,classic_bike,4855,35.95536216958462,21.5
2024,2024-03-17,3,7,casual,electric_bike,3559,21.819902594361714,13.05
2024,2024-03-17,3,7,member,classic_bike,4657,16.65747977954334,10.0
2024,2024-03-17,3,7,member,electric_bike,4497,12.649733155436959,9.283333333333333
2024,2024-03-18,3,1,casual,classic_bike,1875,27.065662222222223,16.1
2024,2024-03-18,3,1,casual,electric_bike,2042,14.097535096310805,9.716666666666667
2024,2024-03-18,3,1,member,classic_bike,4453,13.270678943034659,8.783333333333333
2024,2024-03-18,3,1,member,electric_bike,4705,10.407782500885583,7.85
2024,2024-03-19,3,2,casual,classic_bike,1814,26.90169974274164,15.191666666666666
2024,2024-03-19,3,2,casual,electric_bike,2346,15.733219664677465,10.4
2024,2024-03-19,3,2,member,classic_bike,4944,12.447889697950378,8.525
2024,2024-03-19,3,2,member,electric_bike,5083,10.503114958357925,8.183333333333334
2024,2024-03-20,3,3,casual,classic_bike,2804,32.23376723728008,18.275
2024,2024-03-20,3,3,casual,electric_bike,2753,16.993382976147235,10.983333333333333
2024,2024-03-20,3,3,member,classic_bike,5536,12.90346218689788,9.166666666666666
2024,2024-03-20,3,3,member,electric_bike,5577,11.500412408104717,8.833333333333334
2024,2024-03-21,3,4,casual,classic_bike,2100,31.10442063492064,16.066666666666666
2024,2024-03-21,3,4,casual,electric_bike,2534,15.469751381215469,10.291666666666668
2024,2024-03-21,3,4,member,classic_bike,4963,11.437413526764725,8.283333333333333
2024,2024-03-21,3,4,member,electric_bike,5017,10.637894492060328,8.266666666666667
2024,2024-03-22,3,5,casual,classic_bike,2685,32.001626319056484,18.333333333333332
2024,2024-03-22,3,5,casual,electric_bike,2764,15.629606849975882,10.375
2024,2024-03-22,3,5,member,classic_bike,4630,12.157721382289417,8.625
2024,2024-03-22,3,5,member,electric_bike,5049,11.020198719218328,8.35
2024,2024-03-23,3,6,casual,classic_bike,1603,29.51540860885839,15.116666666666667
2024,2024-03-23,3,6,casual,electric_bike,1741,14.819394983725827,10.183333333333334
2024,2024-03-23,3,6,member,classic_bike,2525,12.354495049504951,8.25
2024,2024-03-23,3,6,member,electric_bike,3044,10.943292816469556,8.083333333333334
2024,2024-03-24,3,7,casual,classic_bike,4056,36.59313773833004,23.183333333333334
2024,2024-03-24,3,7,casual,electric_bike,3073,21.57346241457859,13.116666666666667
2024,2024-03-24,3,7,member,classic_bike,4308,13.273587898483441,8.783333333333333
2024,2024-03-24,3,7,member,electric_bike,3964,12.24604355869492,8.591666666666667
2024,2024-03-25,3,1,casual,classic_bike,2945,35.629552914544426,19.9
2024,2024-03-25,3,1,casual,electric_bike,2359,17.15946728839904,10.85
2024,2024-03-25,3,1,member,classic_bike,4835,12.61479489831093,8.666666666666666
2024,2024-03-25,3,1,member,electric_bike,4733,11.155958166068034,8.416666666666666
2024,2024-03-26,3,2,casual,classic_bike,2783,30.670529404719133,17.833333333333332
2024,2024-03-26,3,2,casual,electric_bike,2587,16.169900785981188,10.15
2024,2024-03-26,3,2,member,classic_bike,5535,11.78122854561879,8.5
2024,2024-03-26,3,2,member,electric_bike,5435,11.147092916283349,8.416666666666666
